#OTU ID,Phylum,LA02,LA0210,LA1020,LB02,LB0210,LB1020,LC02,LC1020,OPA02,OPA0210,OPB02,OPB0210,OPB1020,OPC0210,OPC1020,PA02,PA0210 ,PA1020,PB02,PB0210,PB1020,PC02,PC0210,PC1020
OTU_19715,Acidobacteria,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
OTU_28916,Acidobacteria,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_13653,Acidobacteria,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
OTU_11029,Acidobacteria,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
OTU_27467,Acidobacteria,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
OTU_14585,Acidobacteria,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
OTU_7476,Acidobacteria,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU_1879,Acidobacteria,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_5980,Acidobacteria,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_8306,Acidobacteria,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_5631,Acidobacteria,11,5,7,9,6,9,5,12,1,1,8,0,0,3,2,2,5,1,5,3,2,3,5,0
OTU_11927,Acidobacteria,2,1,1,3,4,3,0,17,0,0,0,0,5,4,0,3,3,0,0,1,0,0,0,0
OTU_1728,Acidobacteria,1,0,3,1,2,3,0,10,0,1,1,1,0,2,2,8,2,0,3,1,0,0,0,0
OTU_11635,Acidobacteria,4,2,4,1,1,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0
OTU_951,Acidobacteria,1,1,0,1,0,2,0,5,0,2,0,0,2,0,1,1,2,0,1,1,0,0,1,0
OTU_28812,Acidobacteria,3,0,2,5,1,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0
OTU_23073,Acidobacteria,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
OTU_3882,Acidobacteria,0,0,0,0,0,0,0,0,7,1,6,6,0,8,2,0,0,0,0,0,0,0,0,0
OTU_8400,Acidobacteria,1,0,0,0,0,0,1,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0
OTU_13906,Acidobacteria,0,0,0,0,0,0,0,1,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
OTU_15616,Acidobacteria,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0
OTU_29353,Acidobacteria,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU_25890,Acidobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU_492,Acidobacteria,0,0,0,0,0,0,0,1,0,1,23,0,0,30,3,0,0,8,51,0,0,0,0,0
OTU_1023,Acidobacteria,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1,1,0,0,40,0,0,0,0,0
OTU_3638,Acidobacteria,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,14,0,0,0,0,0,0
OTU_3888,Acidobacteria,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,12,0,0,0,0,0
OTU_23756,Acidobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
OTU_24779,Acidobacteria,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU_25714,Acidobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU_15506,Acidobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_9,Acidobacteria,1,1,0,0,4,0,66,0,28,16,3,20,11,11,10,0,0,0,0,0,1,2,1,0
OTU_236,Acidobacteria,0,0,0,0,0,0,4,0,10,16,1,12,10,3,8,0,0,0,0,0,0,0,2,0
OTU_167,Acidobacteria,0,0,0,0,0,0,12,0,4,5,3,10,9,5,3,0,1,0,0,0,0,0,2,2
OTU_57,Acidobacteria,0,0,0,0,0,0,4,0,2,8,2,1,0,3,7,0,0,0,0,0,0,0,2,0
OTU_385,Acidobacteria,0,0,0,0,0,0,11,0,0,0,1,5,3,4,2,0,0,0,0,1,0,0,0,0
OTU_19241,Acidobacteria,0,0,0,0,0,0,13,0,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0
OTU_11660,Acidobacteria,0,0,0,0,0,0,4,0,0,2,1,2,3,2,4,0,0,0,0,0,0,0,0,0
OTU_1602,Acidobacteria,0,0,0,0,0,0,5,0,0,3,0,0,2,1,1,0,0,0,0,0,0,0,0,0
OTU_18843,Acidobacteria,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU_12177,Acidobacteria,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_15397,Acidobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
OTU_21171,Acidobacteria,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
OTU_1099,Acidobacteria,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_29183,Acidobacteria,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_2125,Acidobacteria,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
OTU_11180,Acidobacteria,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
